Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/Luciorm/statuses/1516617647894540296,Luciorm,4/19/2022 11:19 pm,"Fdo Belaunzarán
Muchos pedimos respeto p @CitlaHM x la discriminación q era objeto x su físico y hasta @ArturoZaldivarL salió en su defensa
Ahora ella discrimina y estigmatiza a quienes piensan distinto, llamándolos “traidores a la patria” e instigando a su linchamiento
Revelador",Message,Text Only,2755,0,"Toluca, México, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/gotf74/statuses/1516613885536743428,gotf74,4/19/2022 11:05 pm,"GlodeJo07 Aquí el problema no es del indio, sino de quien lo hace compadre, por desgracia los mexicanos en su gran mayoría emiten su voto sin analizar perfiles, ni propuestas, ahí esta el verdadero problema, ojalá esto cambie en las próximas elecciones.",Mention,Text Only,154,0,"Cuautitlan Izcalli, México, Mexico",Men,,0,0,0,0,Origen cultural
Twitter,https://twitter.com/grillommg/statuses/1516605162156138500,grillommg,4/19/2022 10:30 pm,"Lonja por lonja.. Cachete por cachete. La ley de  la Citlalli Hernández. 🤪🤪🤪🐷🐷🐷 | QT: Muchos pedimos respeto para @CitlaHM por la discriminación que era objeto por su físico y hasta @ArturoZaldivarL salió en su defensa.

Ahora ella discrimina y estigmatiza a quienes piensan distinto, llamándolos “traidores a la patria” e instigando a su linchamiento.

Revelador.",Message,Text Only,2,0,"Naucalpan de Juarez, México, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/Marin_Leo/statuses/1516593876622053379,Marin_Leo,4/19/2022 9:45 pm,"Pero sigan aplaudiendo a este misógino y nefasto personaje. Dicen en mi pueblo que la culpa no es del indio sino de quien lo hace compadre. Se siente intocable porque según es ""opositor"" y sí dicen todo lo contrario acusará agresión a la libertad de expresión. | QT: El Litio es el metal más ligero de la tabla periódica. No siempre. https://t.co/UPegl35VOr",Message,Text Only,12180,0,"Villahermosa, Tabasco, Mexico",Men,,0,0,0,0,"Origen cultural, Género"
Instagram,https://www.instagram.com/p/CcjgeOsrzWi/,,4/19/2022 9:41 pm,"Gaza bajo ataques!!! 
Las fuerzas areas de la ocupación “israelíes” bombardearon brutalmente a las zonas civiles en #Gaza. 

اللهُم لطفك بأهل غزة !💔💔
‏ ⁧‫#غزه_تحت_القصف‬⁩

‏‎‏⁦‪#IsraeliCrimes‬⁩ ⁧‫#الأقصى_في_خطر‬⁩
‏#Palestina #Jerusalén #Ataque #Brutal #Inhumanidad #Racismo #Ocupación #Injusticia #CrimenesDeGuerra #TerrorismoDeEstado #PalestinaLibre 
‏‎#فلسطين #القدس #عدالة #حرية #احتلال",Message,Photo,0,0,,,,0,0,0,0,
Facebook,http://www.facebook.com/633767657076047/posts/1413334819119323,Racismo_MX,4/19/2022 9:15 pm,"No te pierdas el ""PRIMER ENCUENTRO EMPRESARIAL CONTRA EL RACISMO"", en donde empresas como Accenture, Coca-Cola, Netflix Mexico, Nike Mexico, Pfizer México, Scotiabank México , Walmart México, entre otras, firmarán un compromiso público para implementar prácticas antirracistas tanto al interior como al exterior.

Asimismo, se darán a conocer los resultados de la ""Encuesta sobre la erradicación de la discriminación por motivo de raza, etnia y tono de piel"" en alianza con la American Chamber of Commerce of Mexico y tendremos un foro sobre cómo se manifiesta el racismo dentro y fuera de las empresas.

Jueves 21 de abril, 11:00 a.m., FB Live, ¡No te lo pierdas!

Convocan COPRED, EY México y #RacismoMX. | No te pierdas el ""PRIMER ENCUENTRO EMPRESARIAL CONTRA EL RACISMO"", en donde empresas como Accenture, Coca-Cola, Netflix Mexico, Nike Mexico, Pfizer México, Scotiabank México , Walmart México, entre otras, firmarán un compromiso público para implementar prácticas antirracistas tanto al interior como al exterior.

Asimismo, se darán a conocer los resultados de la ""Encuesta sobre la erradicación de la discriminación por motivo de raza, etnia y tono de piel"" en alianza con la American Chamber of Commerce of Mexico y tendremos un foro sobre cómo se manifiesta el racismo dentro y fuera de las empresas.

Jueves 21 de abril, 11:00 a.m., FB Live, ¡No te lo pierdas!

Convocan COPRED, EY México y #RacismoMX.",Message,Photo,0,49,,,,25,0,0,24,
Instagram,https://www.instagram.com/p/CcjaPLAO78z/,,4/19/2022 8:47 pm,"Nada mejor que terminar este tremendo cuadro de #muhammadali 
Un peleador nato. Controvertido, potente y directo. #muhammad lucho fuertemente por los derechos de su gente y contra el #racismo 
Me encantan sus reflexiones y cómo se plantea frente al público. Un tipo crítico, muy ácido pero con una contundente personalidad 
Chile es un país racista, pero el racismo es tan profundo que nadie cree que lo somos. Lo hemos sido desde la colonia. Estudie un poco y comprenderá donde parten las diferencias en este país. 
Mas de quinientos años de castas
Grande Muhammed !!!!
Oie espero les guste el cuadro -
A mi me encanta 🥰 
(Imagen portada de la revista life)
#boxeador 
#life #lifemagazine #cassiusclay #black #ali #racism",Message,Photo,0,43,,,,41,0,2,0,
Twitter,https://twitter.com/amonge71/statuses/1516577060126224386,amonge71,4/19/2022 8:38 pm,"GlodeJo07 No, porque entonces no estarían representadas todas las voces de todos los estratos. Sería discriminación. Lo que si debería ser obligatorio es que se capaciten en sus deberes una vez que son electos, para eso hay unos meses previo a la toma de posesión.",Mention,Text Only,243,0,Mexico,Men,,0,0,0,0,
Instagram,https://www.instagram.com/p/CcjXZgyuw0P/,,4/19/2022 8:22 pm,"#Repost escapeapluton. 🔥🔥🔥
・・・
🚀Les presentamos nuestra selección LIBRO DEL MES de abril: Lucy, de Jamaica Kincaid, con traducción de Inés Garland 

👉 Hace unos años, cuando leímos Autobiografía de mí madre, quedamos completamente fascinados con la prosa, el ritmo y la mirada de Jamaica Kincaid, y cuando nos enteramos que lapartemaldita estaba preparando el lanzamiento de un nuevo libro de Kincaid, no dudamos un segundo. Y por si fuera poco, en una nueva traducción de Inés Garland 🔥

👉 La narradora de Lucy es una joven antillana de 19 años que deja su país natal para viajar a Estados Unidos y trabajar como au pair para el matrimonio de Lewis y Mariah y sus cuatro hijas. Pero detrás de esta fachada de familia feliz, Lucy va desgranando una realidad opaca, un mundo que se deshace para dejar entrever una nueva realidad, en un verdadero viaje de transformación, que como en muchas novelas de Kincaid coquetea con su propia biografía: la autora también viajó de joven a Estados Unidos para trabajar como niñera antes de empezar a escribir para el New Yorker.

👉 ¡Que librazo que vamos a leer este mes!

#Kincaid #Lucy #novela #racismo #bookclub",Message,Photo,0,48,,,,46,0,2,0,
Twitter,https://twitter.com/Hiramtorres/statuses/1516570889243873283,Hiramtorres,4/19/2022 8:14 pm,"GlodeJo07 Hay que ser muy clasista e ignorante para hacer este tipo de declaraciones, no sorprende apoyes a partidos como MC",Mention,Text Only,7073,0,"Armeria, Colima, Mexico",Men,,0,0,0,0,
